respondent_id,timestamp,race,gender,region,times_used_service_past_month,events_attended_past_year,q1_find_service_helpful_agreement,q2_mobile_app_frequency,q3_overall_satisfaction
R1289,2025-09-01 09:05:44.502001,Black,Non-binary,North,0,1,Agree,Sometimes,Neutral
R1444,2025-10-26 16:56:46.502001,Hispanic,Female,West,3,1,Agree,Often,Neutral
R1376,2025-10-06 06:13:11.502001,Hispanic,Male,South,3,2,Neutral,Often,Neutral
R1291,2025-10-15 21:05:02.502001,White,Male,North,1,1,Neutral,Sometimes,Very satisfied
R1355,2025-08-23 13:10:22.502001,Black,Female,West,3,1,Strongly disagree,Often,Neutral
R1294,2025-10-13 04:31:30.502001,White,Female,West,1,0,Disagree,Sometimes,Neutral
R1396,2025-09-15 04:01:29.502001,Hispanic,Female,South,1,1,Agree,Sometimes,Neutral
R1340,2025-10-18 01:24:45.502001,White,Female,South,1,1,Neutral,Sometimes,Satisfied
R1112,2025-09-21 12:43:56.502001,Asian,Male,South,3,0,Agree,Sometimes,Very satisfied
R1179,2025-09-18 12:14:22.502001,White,Male,East,2,0,Disagree,Often,Neutral
R1307,2025-10-27 09:15:59.502001,White,Male,West,4,1,Neutral,Often,Very satisfied
R1432,2025-08-23 07:22:53.502001,Black,Prefer not to say,South,1,0,Agree,Rarely,Neutral
R1487,2025-10-13 18:06:00.502001,White,Female,East,2,0,Agree,Always,Very unsatisfied
R1481,2025-08-08 00:12:06.502001,Black,Male,North,2,0,Agree,Never,Neutral
R1422,2025-08-24 23:26:47.502001,White,Male,North,2,0,Agree,Always,Satisfied
R1233,2025-10-07 05:55:31.502001,White,Male,North,4,0,Neutral,Often,Satisfied
R1311,2025-08-26 09:13:54.502001,White,Male,Central,6,1,Disagree,Often,Neutral
R1164,2025-10-23 20:16:43.502001,White,Female,North,4,1,Agree,Often,Neutral
R1136,2025-08-13 16:57:55.502001,White,Male,West,1,1,Neutral,Sometimes,Unsatisfied
R1197,2025-08-12 00:44:13.502001,Asian,Male,Central,3,0,Agree,Never,Satisfied
R1258,2025-08-31 08:17:57.502001,Black,Male,North,2,1,Strongly disagree,Often,Satisfied
R1232,2025-09-30 00:44:31.502001,Black,Male,North,2,1,Agree,Never,Satisfied
R1115,2025-10-24 19:47:11.502001,Hispanic,Male,East,4,0,Strongly disagree,Never,Neutral
R1120,2025-10-15 02:29:22.502001,Hispanic,Female,Central,2,3,Disagree,Rarely,Neutral
R1349,2025-09-12 10:46:18.502001,Black,Male,North,3,1,Neutral,Sometimes,Very unsatisfied
R1224,2025-08-12 14:56:36.502001,White,Male,South,1,2,Neutral,Sometimes,Satisfied
R1402,2025-09-19 01:32:54.502001,White,Female,North,6,2,Neutral,Sometimes,Satisfied
R1397,2025-09-28 16:14:00.502001,White,Male,South,1,1,Agree,Sometimes,Unsatisfied
R1127,2025-10-30 02:19:09.502001,Hispanic,Male,South,6,3,Neutral,Rarely,Neutral
R1285,2025-10-27 22:59:35.502001,White,Male,East,1,0,Agree,Sometimes,Satisfied
R1411,2025-10-14 01:55:29.502001,Asian,Female,North,2,1,Strongly disagree,Sometimes,Neutral
R1107,2025-09-15 14:33:33.502001,Hispanic,Female,West,2,0,Neutral,Always,Satisfied
R1370,2025-09-24 22:31:21.502001,White,Female,Central,1,4,Agree,Always,Satisfied
R1325,2025-10-12 18:26:44.502001,Hispanic,Male,South,2,1,Neutral,Rarely,Satisfied
R1133,2025-10-31 16:52:37.502001,White,Male,South,0,0,Neutral,Sometimes,Satisfied
R1452,2025-09-19 04:45:47.502001,White,Female,West,2,1,Agree,Rarely,Very unsatisfied
R1044,2025-08-14 15:49:01.502001,White,Male,Central,3,1,Strongly disagree,Sometimes,Satisfied
R1460,2025-08-14 10:49:49.502001,White,Female,South,4,2,Neutral,Sometimes,Satisfied
R1065,2025-10-16 07:37:34.502001,White,Male,West,0,1,Neutral,Always,Satisfied
R1283,2025-08-31 05:40:17.502001,White,Female,North,2,2,Neutral,Sometimes,Satisfied
R1085,2025-08-27 05:11:57.502001,White,Female,South,5,1,Agree,Sometimes,Satisfied
R1242,2025-09-23 12:40:37.502001,Asian,Male,West,2,0,Strongly agree,Sometimes,Satisfied
R1186,2025-10-24 00:40:44.502001,Hispanic,Male,East,4,4,Neutral,Never,Very satisfied
R1383,2025-09-13 05:35:42.502001,Hispanic,Female,South,6,1,Neutral,Sometimes,Unsatisfied
R1159,2025-08-27 07:08:09.502001,Black,Male,North,0,0,Strongly agree,Often,Satisfied
R1012,2025-08-09 20:47:02.502001,Hispanic,Non-binary,Central,1,1,Neutral,Often,Unsatisfied
R1035,2025-09-26 03:52:26.502001,Hispanic,Non-binary,East,3,1,Neutral,Never,Neutral
R1028,2025-10-22 18:03:15.502001,Black,Female,South,3,0,Neutral,Rarely,Neutral
R1170,2025-10-30 16:10:37.502001,Black,Female,East,2,2,Agree,Sometimes,Neutral
R1142,2025-08-31 07:59:19.502001,White,Female,East,2,4,Neutral,Rarely,Satisfied
R1398,2025-10-05 09:37:49.502001,Hispanic,Female,East,6,0,Strongly agree,Rarely,Neutral
R1342,2025-08-09 14:34:53.502001,White,Female,West,1,0,Agree,Never,Neutral
R1221,2025-09-28 14:29:44.502001,Black,Female,North,1,2,Neutral,Rarely,Satisfied
R1095,2025-09-10 19:45:50.502001,White,Female,North,0,1,Disagree,Never,Satisfied
R1051,2025-08-26 08:00:05.502001,Hispanic,Male,East,4,2,Strongly agree,Sometimes,Satisfied
R1240,2025-09-14 04:59:31.502001,Asian,Female,West,3,3,Agree,Sometimes,Satisfied
R1484,2025-10-23 06:54:50.502001,Black,Male,South,4,1,Neutral,Sometimes,Satisfied
R1378,2025-09-04 17:31:27.502001,Hispanic,Female,South,4,1,Disagree,Rarely,Satisfied
R1178,2025-09-14 14:23:46.502001,Asian,Non-binary,West,4,3,Neutral,Often,Neutral
R1041,2025-08-11 14:26:49.502001,White,Male,West,3,1,Agree,Sometimes,Very satisfied
R1498,2025-09-18 13:01:44.502001,Other,Non-binary,South,1,1,Strongly disagree,Rarely,Satisfied
R1421,2025-10-03 03:45:34.502001,Hispanic,Male,East,4,1,Agree,Never,Satisfied
R1206,2025-09-12 13:42:48.502001,White,Female,East,2,0,Neutral,Often,Satisfied
R1282,2025-10-03 13:25:13.502001,White,Female,East,2,3,Strongly disagree,Sometimes,Satisfied
R1254,2025-11-05 08:07:40.502001,White,Female,East,4,2,Strongly agree,Always,Very satisfied
R1412,2025-10-07 00:42:18.502001,Asian,Male,South,2,2,Disagree,Often,Very satisfied
R1004,2025-10-12 18:14:39.502001,White,Male,West,1,0,Neutral,Often,Neutral
R1256,2025-08-14 01:42:34.502001,Asian,Male,North,1,1,Neutral,Often,Neutral
R1448,2025-10-21 05:29:44.502001,White,Male,Central,7,1,Disagree,Sometimes,Neutral
R1100,2025-08-08 12:15:55.502001,White,Female,North,0,1,Neutral,Often,Satisfied
R1226,2025-09-21 17:37:23.502001,Other,Female,South,0,1,Disagree,Sometimes,Satisfied
R1429,2025-10-15 18:45:58.502001,White,Female,West,3,0,Neutral,Never,Neutral
R1213,2025-09-14 13:09:45.502001,White,Female,West,3,1,Agree,Sometimes,Very satisfied
R1171,2025-09-27 20:55:10.502001,White,Male,Central,2,4,Neutral,Sometimes,Very satisfied
R1098,2025-11-02 20:59:44.502001,White,Female,West,2,3,Neutral,Sometimes,Neutral
R1292,2025-10-03 19:37:52.502001,Hispanic,Male,East,6,1,Neutral,Often,Unsatisfied
R1215,2025-11-05 01:34:45.502001,White,Male,South,1,1,Neutral,Rarely,Neutral
R1061,2025-10-04 01:51:57.502001,White,Female,Central,3,0,Disagree,Often,Satisfied
R1047,2025-09-01 11:53:21.502001,White,Male,North,1,1,Neutral,Always,Neutral
R1032,2025-09-24 17:43:08.502001,White,Prefer not to say,South,0,0,Disagree,Often,Satisfied
R1267,2025-11-04 07:53:23.502001,Black,Male,South,1,0,Disagree,Sometimes,Neutral
R1327,2025-10-30 06:01:43.502001,Black,Female,West,3,2,Neutral,Never,Neutral
R1200,2025-11-02 16:29:53.502001,Black,Male,West,2,0,Neutral,Often,Neutral
R1446,2025-10-11 05:05:53.502001,Other,Female,East,2,1,Neutral,Sometimes,Satisfied
R1027,2025-08-16 04:22:25.502001,White,Female,West,0,0,Neutral,Sometimes,Very satisfied
R1424,2025-09-20 23:19:15.502001,White,Female,Central,2,1,Neutral,Sometimes,Satisfied
R1230,2025-08-14 16:30:25.502001,Hispanic,Female,Central,0,1,Neutral,Often,Neutral
R1260,2025-10-25 18:07:58.502001,Black,Female,South,1,0,Agree,Sometimes,Satisfied
R1288,2025-09-14 14:23:24.502001,White,Female,North,1,1,Agree,Sometimes,Neutral
R1162,2025-08-28 01:58:50.502001,Black,Male,South,4,1,Strongly agree,Often,Satisfied
R1425,2025-08-29 10:28:22.502001,White,Female,Central,2,1,Disagree,Rarely,Very satisfied
R1138,2025-10-15 09:40:07.502001,White,Female,South,2,4,Neutral,Never,Neutral
R1062,2025-09-26 14:28:40.502001,Hispanic,Female,West,1,1,Agree,Sometimes,Neutral
R1135,2025-09-20 05:12:20.502001,White,Female,North,4,1,Neutral,Often,Very unsatisfied
R1128,2025-10-25 13:30:20.502001,White,Female,South,2,0,Disagree,Never,Very satisfied
R1476,2025-09-29 01:04:40.502001,White,Male,West,2,1,Agree,Sometimes,Satisfied
R1008,2025-09-14 10:49:03.502001,Black,Non-binary,South,3,0,Neutral,Sometimes,Satisfied
R1326,2025-09-06 08:59:13.502001,Black,Female,North,3,0,Neutral,Never,Satisfied
R1463,2025-09-05 06:02:20.502001,Black,Female,East,2,1,Neutral,Sometimes,Satisfied
R1064,2025-10-22 08:01:35.502001,White,Female,South,1,2,Strongly disagree,Sometimes,Neutral
R1300,2025-10-27 19:57:07.502001,White,Male,North,1,2,Agree,Sometimes,Neutral
R1014,2025-10-04 23:13:00.502001,White,Female,West,2,2,Disagree,Never,Neutral
R1156,2025-09-06 21:43:52.502001,Black,Female,North,2,3,Agree,Rarely,Very satisfied
R1040,2025-10-09 21:20:29.502001,White,Non-binary,East,0,2,Neutral,Sometimes,Satisfied
R1379,2025-10-22 19:10:45.502001,White,Female,East,4,0,Disagree,Sometimes,Unsatisfied
R1468,2025-10-10 01:19:54.502001,White,Male,West,4,2,Agree,Rarely,Unsatisfied
R1403,2025-10-27 14:01:01.502001,Hispanic,Male,West,2,0,Neutral,Sometimes,Satisfied
R1216,2025-09-26 11:55:33.502001,White,Male,North,4,1,Disagree,Sometimes,Satisfied
R1279,2025-09-30 21:53:55.502001,Hispanic,Male,South,2,0,Neutral,Sometimes,Unsatisfied
R1434,2025-09-23 02:15:18.502001,White,Female,North,2,0,Neutral,Often,Neutral
R1430,2025-08-17 01:41:41.502001,White,Female,South,3,1,Agree,Often,Satisfied
R1337,2025-10-19 23:17:36.502001,Black,Female,East,3,1,Neutral,Often,Very satisfied
R1236,2025-10-26 14:29:13.502001,White,Female,West,4,1,Strongly disagree,Never,Satisfied
R1207,2025-08-12 18:07:07.502001,Black,Male,South,3,0,Disagree,Often,Satisfied
R1212,2025-09-17 10:17:04.502001,Black,Female,North,1,1,Disagree,Rarely,Satisfied
R1295,2025-09-26 03:05:45.502001,White,Male,North,4,0,Agree,Often,Satisfied
R1457,2025-09-23 09:28:26.502001,White,Female,East,3,1,Neutral,Always,Neutral
R1251,2025-10-14 03:29:37.502001,White,Non-binary,South,3,0,Neutral,Rarely,Neutral
R1488,2025-09-25 15:06:43.502001,Asian,Female,South,2,0,Strongly agree,Sometimes,Satisfied
R1486,2025-09-14 04:33:08.502001,White,Male,South,4,4,Agree,Often,Very unsatisfied
R1303,2025-09-28 21:41:13.502001,Black,Male,East,1,0,Strongly disagree,Often,Neutral
R1350,2025-11-03 18:44:58.502001,White,Female,West,5,3,Neutral,Often,Neutral
R1269,2025-08-08 04:21:51.502001,White,Male,South,2,0,Strongly agree,Often,Neutral
R1201,2025-10-29 20:25:08.502001,White,Female,North,1,1,Strongly agree,Sometimes,Satisfied
R1161,2025-10-03 06:38:55.502001,Black,Prefer not to say,North,3,1,Agree,Sometimes,Very satisfied
R1043,2025-09-02 12:32:39.502001,Asian,Male,East,3,4,Disagree,Often,Satisfied
R1217,2025-10-11 03:13:41.502001,Hispanic,Non-binary,East,3,2,Disagree,Often,Unsatisfied
R1401,2025-08-26 17:03:41.502001,Asian,Female,North,3,0,Agree,Never,Satisfied
R1190,2025-09-14 10:43:50.502001,White,Female,North,1,1,Agree,Sometimes,Unsatisfied
R1309,2025-10-23 22:35:02.502001,White,Female,West,1,0,Neutral,Rarely,Neutral
R1259,2025-10-30 11:18:23.502001,White,Male,East,2,0,Strongly disagree,Sometimes,Neutral
R1105,2025-10-04 03:56:37.502001,White,Female,North,3,2,Neutral,Often,Satisfied
R1053,2025-10-30 18:38:25.502001,Asian,Male,West,0,0,Neutral,Sometimes,Neutral
R1389,2025-10-07 10:28:23.502001,Hispanic,Female,South,3,1,Neutral,Sometimes,Satisfied
R1001,2025-08-09 17:29:22.502001,Asian,Male,East,2,0,Neutral,Often,Satisfied
R1441,2025-11-04 09:18:50.502001,Other,Male,North,5,1,Neutral,Never,Very satisfied
R1482,2025-09-08 03:15:55.502001,White,Female,East,3,1,Disagree,Always,Neutral
R1049,2025-09-09 07:30:14.502001,White,Male,North,3,0,Disagree,Never,Very satisfied
R1419,2025-08-14 00:46:31.502001,Hispanic,Female,Central,0,2,Agree,Often,Unsatisfied
R1080,2025-09-27 00:01:17.502001,Hispanic,Female,West,4,0,Neutral,Often,Satisfied
R1205,2025-08-26 17:09:37.502001,White,Prefer not to say,West,3,1,Agree,Always,Very satisfied
R1034,2025-09-10 13:06:02.502001,Other,Male,North,2,0,Disagree,Rarely,Satisfied
R1263,2025-08-21 16:11:58.502001,White,Male,South,4,1,Neutral,Often,Neutral
R1427,2025-08-07 23:26:35.502001,Asian,Male,Central,1,3,Agree,Sometimes,Neutral
R1366,2025-08-30 09:40:01.502001,Other,Female,West,2,1,Disagree,Sometimes,Unsatisfied
R1091,2025-10-02 22:44:59.502001,Black,Male,East,3,1,Neutral,Always,Very satisfied
R1339,2025-09-03 22:40:43.502001,White,Male,North,1,2,Agree,Sometimes,Satisfied
R1473,2025-08-26 02:13:43.502001,Asian,Female,South,1,0,Agree,Sometimes,Satisfied
R1052,2025-08-31 12:08:18.502001,Asian,Male,Central,6,0,Disagree,Sometimes,Very satisfied
R1345,2025-10-24 06:28:07.502001,Black,Female,South,2,1,Disagree,Sometimes,Very satisfied
R1264,2025-10-21 12:21:19.502001,Hispanic,Female,North,1,0,Neutral,Sometimes,Neutral
R1241,2025-09-29 00:11:54.502001,Asian,Female,West,3,1,Strongly disagree,Rarely,Satisfied
R1013,2025-08-25 08:57:20.502001,White,Male,North,3,1,Neutral,Often,Very satisfied
R1315,2025-10-26 01:11:50.502001,Black,Male,East,4,0,Disagree,Often,Satisfied
R1088,2025-08-15 15:49:50.502001,Asian,Female,Central,5,2,Agree,Often,Very satisfied
R1387,2025-09-14 07:37:49.502001,White,Female,North,4,2,Strongly disagree,Always,Neutral
R1273,2025-10-30 23:33:18.502001,Asian,Female,North,2,1,Neutral,Rarely,Satisfied
R1166,2025-08-28 21:33:23.502001,White,Female,West,1,2,Neutral,Often,Unsatisfied
R1328,2025-10-18 16:17:39.502001,White,Male,East,0,2,Disagree,Always,Satisfied
R1492,2025-09-15 16:52:19.502001,White,Female,South,2,1,Agree,Sometimes,Satisfied
R1134,2025-08-15 04:28:40.502001,Asian,Female,East,0,1,Agree,Often,Very satisfied
R1306,2025-09-04 05:18:15.502001,White,Non-binary,West,1,1,Neutral,Rarely,Very satisfied
R1480,2025-09-10 17:05:21.502001,Black,Female,West,0,1,Agree,Never,Neutral
R1319,2025-10-30 04:00:33.502001,White,Female,North,4,2,Strongly agree,Often,Neutral
R1243,2025-10-30 14:25:54.502001,White,Male,West,1,1,Agree,Never,Neutral
R1054,2025-10-04 19:13:22.502001,Black,Male,Central,1,0,Neutral,Often,Satisfied
R1363,2025-09-22 12:08:24.502001,White,Female,East,2,2,Neutral,Rarely,Satisfied
R1050,2025-09-09 19:03:26.502001,Other,Male,West,4,0,Disagree,Sometimes,Satisfied
R1456,2025-10-15 09:37:26.502001,White,Male,East,4,1,Strongly agree,Often,Neutral
R1174,2025-10-19 03:39:35.502001,Black,Female,East,3,2,Strongly disagree,Often,Unsatisfied
R1445,2025-10-01 14:47:43.502001,Asian,Female,North,4,4,Disagree,Rarely,Satisfied
R1189,2025-09-16 20:28:17.502001,White,Female,West,1,0,Strongly disagree,Always,Very satisfied
R1496,2025-09-12 20:47:25.502001,Black,Male,East,2,3,Agree,Sometimes,Satisfied
R1187,2025-08-29 20:33:50.502001,Black,Female,North,2,1,Disagree,Rarely,Very unsatisfied
R1169,2025-08-19 09:15:35.502001,Black,Female,South,2,0,Strongly agree,Rarely,Neutral
R1058,2025-08-22 04:24:56.502001,White,Male,South,1,0,Disagree,Sometimes,Very satisfied
R1048,2025-10-03 16:32:41.502001,White,Male,West,1,0,Agree,Rarely,Neutral
R1344,2025-09-06 00:30:43.502001,White,Female,West,1,1,Neutral,Never,Satisfied
R1235,2025-08-18 06:25:17.502001,Black,Male,South,1,0,Strongly disagree,Often,Very satisfied
R1252,2025-08-14 00:09:34.502001,Hispanic,Male,North,2,0,Strongly agree,Always,Neutral
R1021,2025-10-09 07:26:50.502001,White,Female,South,3,0,Neutral,Never,Very unsatisfied
R1313,2025-08-16 17:30:02.502001,Other,Male,West,4,1,Neutral,Rarely,Satisfied
R1459,2025-09-01 04:35:48.502001,White,Male,East,2,3,Strongly disagree,Often,Satisfied
R1160,2025-08-13 20:48:41.502001,White,Female,West,2,1,Disagree,Never,Very satisfied
R1276,2025-08-17 02:39:50.502001,Hispanic,Female,South,3,1,Disagree,Often,Satisfied
R1443,2025-10-31 23:33:06.502001,White,Male,South,2,0,Agree,Sometimes,Neutral
R1191,2025-09-01 13:07:26.502001,Asian,Female,East,6,0,Agree,Never,Unsatisfied
R1385,2025-09-03 02:04:53.502001,Hispanic,Female,South,1,1,Neutral,Always,Satisfied
R1293,2025-08-31 01:17:23.502001,White,Male,East,3,2,Strongly agree,Always,Neutral
R1413,2025-08-27 16:41:24.502001,Black,Female,North,1,1,Agree,Never,Very unsatisfied
R1343,2025-08-24 20:37:36.502001,White,Non-binary,West,2,0,Neutral,Often,Neutral
R1257,2025-08-26 15:52:46.502001,Black,Male,South,1,3,Neutral,Sometimes,Satisfied
R1308,2025-10-18 03:05:26.502001,Hispanic,Female,South,5,0,Neutral,Sometimes,Satisfied
R1149,2025-09-04 12:46:24.502001,White,Male,West,4,0,Strongly agree,Never,Very unsatisfied
R1130,2025-09-04 03:41:48.502001,White,Male,West,3,1,Disagree,Sometimes,Unsatisfied
R1151,2025-10-04 23:12:10.502001,White,Male,West,1,2,Neutral,Rarely,Very satisfied
R1359,2025-09-15 14:07:26.502001,Black,Female,East,3,1,Neutral,Often,Very satisfied
R1099,2025-10-23 22:45:01.502001,White,Female,South,3,0,Strongly disagree,Sometimes,Very satisfied
R1372,2025-10-13 06:04:42.502001,White,Male,West,4,2,Agree,Always,Satisfied
R1087,2025-09-22 08:02:35.502001,Black,Female,North,2,0,Neutral,Sometimes,Neutral
R1458,2025-10-02 21:14:34.502001,White,Female,North,3,0,Neutral,Always,Unsatisfied
R1330,2025-10-19 10:41:05.502001,White,Female,East,3,1,Neutral,Sometimes,Neutral
R1214,2025-11-01 15:16:20.502001,Black,Female,East,2,1,Strongly disagree,Sometimes,Satisfied
R1466,2025-08-28 06:59:28.502001,White,Male,Central,2,0,Neutral,Often,Satisfied
R1121,2025-09-25 00:31:30.502001,Asian,Female,Central,3,1,Neutral,Often,Satisfied
R1499,2025-08-18 23:08:32.502001,Other,Female,West,3,0,Agree,Rarely,Satisfied
R1020,2025-10-19 00:02:09.502001,Black,Male,East,3,1,Neutral,Often,Very unsatisfied
R1188,2025-08-24 14:19:03.502001,White,Male,South,2,0,Neutral,Always,Satisfied
R1071,2025-10-31 08:09:04.502001,White,Male,South,1,1,Agree,Sometimes,Neutral
R1106,2025-08-17 12:25:08.502001,White,Female,South,2,0,Neutral,Sometimes,Neutral
R1270,2025-10-20 00:24:40.502001,Hispanic,Female,East,1,1,Neutral,Sometimes,Very satisfied
R1348,2025-10-04 05:04:00.502001,White,Male,Central,4,1,Neutral,Sometimes,Satisfied
R1435,2025-08-11 23:56:17.502001,Black,Female,North,2,1,Disagree,Never,Neutral
R1102,2025-10-07 19:57:38.502001,White,Female,Central,1,3,Disagree,Often,Satisfied
